text,language,specialty,urgency,symptoms,source
عندي ألم فالصدر وضيق فالتنفس,arabic_darija,Cardiology,high,chest_pain;shortness_of_breath,custom
عندي ألم فالصدر وضيق فالتنفس اليوم,arabic_darija,Cardiology,high,chest_pain;shortness_of_breath,custom
عندي ألم فالصدر وضيق فالتنفس بلا سخانة كبيرة,arabic_darija,Cardiology,high,chest_pain;shortness_of_breath,custom
عندي ألم فالصدر وضيق فالتنفس فالصباح كاين بزاف,arabic_darija,Cardiology,high,chest_pain;shortness_of_breath,custom
عندي ألم فالصدر وضيق فالتنفس كيجي وكي مشي,arabic_darija,Cardiology,high,chest_pain;shortness_of_breath,custom
عندي ألم فالصدر وضيق فالتنفس مع شوية ديال القلق,arabic_darija,Cardiology,high,chest_pain;shortness_of_breath,custom
عندي ألم فالصدر وضيق فالتنفس من البارح,arabic_darija,Cardiology,high,chest_pain;shortness_of_breath,custom
عندي ألم فالصدر وضيق فالتنفس من ثلاثة أيام,arabic_darija,Cardiology,high,chest_pain;shortness_of_breath,custom
عندي ألم فالصدر وضيق فالتنفس واش خاصني نمشي لطبيب,arabic_darija,Cardiology,high,chest_pain;shortness_of_breath,custom
عندي ألم فالصدر وضيق فالتنفس وكنحس بالتعب,arabic_darija,Cardiology,high,chest_pain;shortness_of_breath,custom
عندي ألم فالصدر وضيق فالتنفس وكيزيد فالليل,arabic_darija,Cardiology,high,chest_pain;shortness_of_breath,custom
عندي ألم فالصدر وضيق فالتنفس وماعرفتش شنو ندير,arabic_darija,Cardiology,high,chest_pain;shortness_of_breath,custom
عندي طفح جلدي وحكة,arabic_darija,Dermatology,low,skin_rash,custom
عندي طفح جلدي وحكة اليوم,arabic_darija,Dermatology,low,skin_rash,custom
عندي طفح جلدي وحكة بلا سخانة كبيرة,arabic_darija,Dermatology,low,skin_rash,custom
عندي طفح جلدي وحكة فالصباح كاين بزاف,arabic_darija,Dermatology,low,skin_rash,custom
عندي طفح جلدي وحكة كيجي وكي مشي,arabic_darija,Dermatology,low,skin_rash,custom
عندي طفح جلدي وحكة مع شوية ديال القلق,arabic_darija,Dermatology,low,skin_rash,custom
عندي طفح جلدي وحكة من البارح,arabic_darija,Dermatology,low,skin_rash,custom
عندي طفح جلدي وحكة من ثلاثة أيام,arabic_darija,Dermatology,low,skin_rash,custom
عندي طفح جلدي وحكة واش خاصني نمشي لطبيب,arabic_darija,Dermatology,low,skin_rash,custom
عندي طفح جلدي وحكة وكنحس بالتعب,arabic_darija,Dermatology,low,skin_rash,custom
عندي طفح جلدي وحكة وكيزيد فالليل,arabic_darija,Dermatology,low,skin_rash,custom
عندي طفح جلدي وحكة وماعرفتش شنو ندير,arabic_darija,Dermatology,low,skin_rash,custom
غمي عليا وفقدت الوعي,arabic_darija,Emergency Medicine,high,loss_of_consciousness,custom
غمي عليا وفقدت الوعي اليوم,arabic_darija,Emergency Medicine,high,loss_of_consciousness,custom
غمي عليا وفقدت الوعي بلا سخانة كبيرة,arabic_darija,Emergency Medicine,high,loss_of_consciousness,custom
غمي عليا وفقدت الوعي فالصباح كاين بزاف,arabic_darija,Emergency Medicine,high,loss_of_consciousness,custom
غمي عليا وفقدت الوعي كيجي وكي مشي,arabic_darija,Emergency Medicine,high,loss_of_consciousness,custom
غمي عليا وفقدت الوعي مع شوية ديال القلق,arabic_darija,Emergency Medicine,high,loss_of_consciousness,custom
غمي عليا وفقدت الوعي من البارح,arabic_darija,Emergency Medicine,high,loss_of_consciousness,custom
غمي عليا وفقدت الوعي من ثلاثة أيام,arabic_darija,Emergency Medicine,high,loss_of_consciousness,custom
غمي عليا وفقدت الوعي واش خاصني نمشي لطبيب,arabic_darija,Emergency Medicine,high,loss_of_consciousness,custom
غمي عليا وفقدت الوعي وكنحس بالتعب,arabic_darija,Emergency Medicine,high,loss_of_consciousness,custom
غمي عليا وفقدت الوعي وكيزيد فالليل,arabic_darija,Emergency Medicine,high,loss_of_consciousness,custom
غمي عليا وفقدت الوعي وماعرفتش شنو ندير,arabic_darija,Emergency Medicine,high,loss_of_consciousness,custom
نزيف قوي ومحبسش,arabic_darija,Emergency Medicine,high,bleeding,custom
نزيف قوي ومحبسش اليوم,arabic_darija,Emergency Medicine,high,bleeding,custom
نزيف قوي ومحبسش بلا سخانة كبيرة,arabic_darija,Emergency Medicine,high,bleeding,custom
نزيف قوي ومحبسش فالصباح كاين بزاف,arabic_darija,Emergency Medicine,high,bleeding,custom
